llamada_id,fecha,hora,franja_horaria,dia_semana,cliente,canal,agente_id,agente_antiguedad_meses,duracion_llamada,tiempo_espera,agentes_disponibles,motivo_llamada,fcr,escalada,csat,abandono
LC000001,2025-07-01,00:03,Noche,Martes,Telco,Inbound,AG032,47,746.8,25.3,5,Otros,1.0,0,2.5,0
LC000002,2025-07-01,00:07,Noche,Martes,Telco,Outbound,AG010,14,188.2,21.4,10,Soporte tecnico,1.0,0,3.5,0
LC000003,2025-07-01,00:13,Noche,Martes,Retail,Inbound,AG043,42,,36.6,4,Facturacion,1.0,0,3.5,0
LC000004,2025-07-01,00:34,Noche,Martes,Banca,Inbound,AG005,13,121.5,5.0,12,Otros,1.0,0,,0
LC000005,2025-07-01,00:40,Noche,Martes,Retail,Outbound,AG009,23,120.2,13.0,10,Soporte tecnico,1.0,0,,0
LC000006,2025-07-01,00:58,Noche,Martes,Banca,Chat,AG005,13,5195.8,11.3,10,Soporte tecnico,1.0,0,,0
LC000007,2025-07-01,01:02,Noche,Martes,Telco,Inbound,AG011,32,128.7,12.3,7,Soporte tecnico,1.0,0,3.5,0
LC000008,2025-07-01,01:02,Noche,Martes,Telco,Inbound,AG035,1,403.3,13.3,7,Facturacion,0.0,0,3.0,0
LC000009,2025-07-01,01:02,Noche,Martes,Banca,Inbound,AG027,11,124.0,10.7,10,Facturacion,1.0,1,2.5,0
LC000010,2025-07-01,01:44,Noche,Martes,Banca,Chat,AG004,16,317.2,5.0,9,Facturacion,1.0,0,,0
LC000011,2025-07-01,01:46,Noche,Martes,Banca,Inbound,AG010,14,392.3,5.0,14,Facturacion,1.0,0,,0
LC000012,2025-07-01,02:34,Noche,Martes,Banca,Inbound,AG039,6,137.4,10.8,10,Facturacion,,0,,0
LC000013,2025-07-01,02:49,Noche,Martes,Banca,Chat,AG033,29,587.9,5.0,3,Facturacion,0.0,0,,0
LC000014,2025-07-01,03:05,Noche,Martes,Telco,Inbound,AG038,18,207.6,11.0,13,Facturacion,1.0,0,,0
LC000015,2025-07-01,03:24,Noche,Martes,Retail,Chat,AG008,43,183.5,17.3,9,Facturacion,1.0,0,,0
LC000016,2025-07-01,03:54,Noche,Martes,Banca,Chat,AG024,33,365.8,5.0,9,Cancelacion,1.0,0,,0
LC000017,2025-07-01,04:04,Noche,Martes,Telco,Inbound,AG039,6,194.7,8.9,4,Facturacion,1.0,1,,0
LC000018,2025-07-01,04:04,Noche,Martes,Banca,Inbound,AG033,29,111.8,5.0,11,Soporte tecnico,0.0,0,,0
LC000019,2025-07-01,04:48,Noche,Martes,Banca,Inbound,AG041,1,207.0,2213.8,14,Soporte tecnico,1.0,0,3.5,0
LC000020,2025-07-01,05:11,Noche,Martes,Telco,Chat,AG043,42,276.4,5.0,14,Otros,1.0,0,,0
LC000021,2025-07-01,05:32,Noche,Martes,Telco,Inbound,AG019,19,309.1,19.8,8,Soporte tecnico,1.0,0,,0
LC000022,2025-07-01,05:42,Noche,Martes,Telco,Outbound,AG002,22,537.5,6.0,10,Otros,1.0,0,5.0,0
LC000023,2025-07-01,05:45,Noche,Martes,Telco,Inbound,AG011,32,205.6,10.8,8,Soporte tecnico,1.0,0,,0
LC000024,2025-07-01,05:50,Noche,Martes,Telco,Inbound,AG035,1,218.2,5.0,9,Facturacion,1.0,0,4.5,0
LC000025,2025-07-01,06:07,Noche,Martes,Telco,Inbound,AG017,5,366.9,20.8,5,Soporte tecnico,0.0,0,,0
LC000026,2025-07-01,06:10,Noche,Martes,Telco,Inbound,AG042,47,276.0,187.7,4,Cancelacion,1.0,0,,0
LC000027,2025-07-01,06:22,Noche,Martes,Telco,Inbound,AG003,45,401.9,24.1,6,Soporte tecnico,1.0,0,,0
LC000028,2025-07-01,06:45,Noche,Martes,Retail,Inbound,AG022,15,0.0,12.2,6,Soporte tecnico,,0,,1
LC000029,2025-07-01,07:27,Manana,Martes,Telco,Inbound,AG035,1,,7.4,14,Cancelacion,1.0,1,,0
LC000030,2025-07-01,08:05,Manana,Martes,Telco,Inbound,AG021,6,393.1,286.5,1,Facturacion,1.0,1,,0
LC000031,2025-07-01,08:36,Manana,Martes,Telco,Inbound,AG025,24,194.5,16.0,5,Otros,1.0,0,,0
LC000032,2025-07-01,09:14,Manana,Martes,Banca,Inbound,AG039,6,381.1,145.1,1,Soporte tecnico,1.0,0,3.5,0
LC000033,2025-07-01,10:08,Manana,Martes,Telco,Inbound,AG002,22,815.6,63.3,2,Soporte tecnico,1.0,0,4.5,0
LC000034,2025-07-01,10:36,Manana,Martes,Telco,Inbound,AG001,28,325.5,36.8,4,Otros,1.0,0,5.0,0
LC000035,2025-07-01,10:55,Manana,Martes,Telco,Outbound,AG007,36,0.0,5.0,5,Cancelacion,,0,,1
LC000036,2025-07-01,11:22,Manana,Martes,Retail,Inbound,AG020,36,297.3,73.6,2,Soporte tecnico,1.0,0,,0
LC000037,2025-07-01,13:03,Tarde,Martes,Banca,Chat,AG043,42,71.9,10.7,11,Otros,1.0,0,2.0,0
LC000038,2025-07-01,13:29,Tarde,Martes,Telco,Inbound,AG006,36,681.7,11.2,14,Soporte tecnico,1.0,0,3.0,0
LC000039,2025-07-01,13:54,Tarde,Martes,Telco,Outbound,AG036,34,155.1,30.2,4,Soporte tecnico,1.0,0,,0
LC000040,2025-07-01,14:38,Tarde,Martes,Telco,Inbound,AG021,6,0.0,39.1,6,Otros,,0,,1
LC000041,2025-07-01,15:08,Tarde,Martes,Telco,Inbound,AG035,1,4093.3,204.5,3,Facturacion,0.0,0,3.5,0
LC000042,2025-07-01,15:10,Tarde,Martes,Banca,Inbound,AG036,34,451.4,5.0,9,Soporte tecnico,1.0,0,5.0,0
LC000043,2025-07-01,15:47,Tarde,Martes,Banca,Inbound,AG008,43,498.2,31.0,8,Facturacion,1.0,0,2.5,0
LC000044,2025-07-01,16:04,Tarde,Martes,Banca,Inbound,AG004,16,130.1,7.5,5,Cancelacion,,0,,0
LC000045,2025-07-01,16:10,Tarde,Martes,Telco,Outbound,AG043,42,451.4,5.0,7,Facturacion,1.0,0,3.0,0
LC000046,2025-07-01,16:30,Tarde,Martes,Banca,Inbound,AG016,1,476.4,5.5,5,Cancelacion,0.0,0,,0
LC000047,2025-07-01,16:32,Tarde,Martes,Telco,Inbound,AG003,45,364.8,7.6,12,Facturacion,1.0,0,4.0,0
LC000048,2025-07-01,16:55,Tarde,Martes,Telco,Outbound,AG007,36,941.1,6.2,14,Facturacion,1.0,1,,0
LC000049,2025-07-01,16:58,Tarde,Martes,Banca,Inbound,AG002,22,167.7,24.0,9,Otros,1.0,1,,0
LC000050,2025-07-01,17:43,Tarde,Martes,Telco,Inbound,AG001,28,296.8,6.6,10,Facturacion,1.0,0,3.5,0
LC000051,2025-07-01,17:49,Tarde,Martes,Banca,Inbound,AG001,28,228.1,13.6,13,Facturacion,1.0,0,,0
LC000052,2025-07-01,18:05,Tarde,Martes,Retail,Inbound,AG038,18,475.1,32.5,13,Facturacion,1.0,0,3.0,0
LC000053,2025-07-01,18:29,Tarde,Martes,Telco,Inbound,AG007,36,289.1,5.0,10,Cancelacion,1.0,0,2.0,0
LC000054,2025-07-01,18:50,Tarde,Martes,Retail,Inbound,AG024,33,256.6,5.0,11,Cancelacion,1.0,0,,0
LC000055,2025-07-01,18:50,Tarde,Martes,Telco,Inbound,AG005,13,151.6,2896.5,11,Otros,1.0,0,,0
LC000056,2025-07-01,18:53,Tarde,Martes,Telco,Inbound,AG021,6,253.2,58.6,6,Facturacion,1.0,0,,0
LC000057,2025-07-01,19:21,Tarde,Martes,Banca,Inbound,AG028,23,78.1,13.6,13,Soporte tecnico,1.0,0,2.5,0
LC000058,2025-07-01,20:00,Noche,Martes,Banca,Chat,AG018,33,225.4,5.8,12,Cancelacion,1.0,1,3.5,0
LC000059,2025-07-01,20:03,Noche,Martes,Telco,Chat,AG024,33,0.0,5.0,13,Soporte tecnico,,0,,1
LC000060,2025-07-01,20:44,Noche,Martes,Banca,Inbound,AG032,47,56.9,,13,Cancelacion,0.0,0,3.0,0
LC000061,2025-07-01,21:20,Noche,Martes,Retail,Inbound,AG045,4,238.8,34.9,7,Cancelacion,0.0,0,2.5,0
LC000062,2025-07-01,21:42,Noche,Martes,Telco,Inbound,AG033,29,322.7,5.0,11,Facturacion,1.0,0,2.0,0
LC000063,2025-07-01,21:51,Noche,Martes,Retail,Inbound,AG010,14,359.8,17.0,7,Facturacion,1.0,0,,0
LC000064,2025-07-01,22:35,Noche,Martes,Banca,Inbound,AG009,23,194.8,20.7,5,Cancelacion,1.0,0,,0
LC000065,2025-07-01,22:57,Noche,Martes,Retail,Inbound,AG033,29,521.1,5.0,11,Soporte tecnico,1.0,0,,0
LC000066,2025-07-01,23:00,Noche,Martes,Telco,Inbound,AG033,29,101.8,10.2,10,Soporte tecnico,1.0,1,3.5,0
LC000067,2025-07-01,23:03,Noche,Martes,Banca,Outbound,AG007,36,396.9,11.1,14,Soporte tecnico,1.0,0,5.0,0
LC000068,2025-07-01,23:06,Noche,Martes,Telco,Outbound,AG004,16,0.0,5.0,10,Soporte tecnico,,0,,1
LC000069,2025-07-01,23:47,Noche,Martes,Retail,Chat,AG028,23,121.0,22.5,8,Soporte tecnico,0.0,0,2.5,0
LC000070,2025-07-01,23:51,Noche,Martes,Banca,Inbound,AG023,36,0.0,16.4,4,Facturacion,,0,,1
LC000071,2025-07-02,00:10,Noche,Miercoles,Telco,Chat,AG032,47,0.0,5.0,8,Soporte tecnico,,0,,1
LC000072,2025-07-02,00:19,Noche,Miercoles,Telco,Inbound,AG044,30,456.0,16.9,5,Facturacion,1.0,0,,0
LC000073,2025-07-02,00:25,Noche,Miercoles,Retail,Inbound,AG016,1,0.0,5.0,4,Cancelacion,,0,,1
LC000074,2025-07-02,00:42,Noche,Miercoles,Banca,Chat,AG010,14,61.3,,8,Cancelacion,1.0,0,,0
LC000075,2025-07-02,00:52,Noche,Miercoles,Telco,Chat,AG014,19,212.6,55.4,10,Soporte tecnico,,0,3.5,0
LC000076,2025-07-02,00:55,Noche,Miercoles,Telco,Outbound,AG039,6,387.6,14.3,9,Soporte tecnico,1.0,0,,0
LC000077,2025-07-02,01:04,Noche,Miercoles,Retail,Inbound,AG036,34,123.8,7.1,6,Facturacion,1.0,0,2.5,0
LC000078,2025-07-02,01:20,Noche,Miercoles,Telco,Inbound,AG034,31,215.4,25.5,10,Facturacion,1.0,0,,0
LC000079,2025-07-02,02:07,Noche,Miercoles,Telco,Outbound,AG024,33,165.1,5.0,10,Facturacion,0.0,0,4.5,0
LC000080,2025-07-02,02:17,Noche,Miercoles,Retail,Outbound,AG018,33,35.9,5.7,9,Facturacion,1.0,0,4.0,0
LC000081,2025-07-02,02:28,Noche,Miercoles,Telco,Outbound,AG016,1,31.9,22.7,13,Cancelacion,0.0,0,2.5,0
LC000082,2025-07-02,02:42,Noche,Miercoles,Telco,Inbound,AG041,1,388.2,25.8,4,Otros,0.0,0,,0
LC000083,2025-07-02,03:33,Noche,Miercoles,Telco,Inbound,AG037,18,350.7,8.8,6,Facturacion,,0,,0
LC000084,2025-07-02,03:35,Noche,Miercoles,Retail,Inbound,AG041,1,126.4,12.7,5,Facturacion,0.0,0,,0
LC000085,2025-07-02,03:55,Noche,Miercoles,Telco,Chat,AG025,24,714.9,14.4,9,Otros,1.0,0,,0
LC000086,2025-07-02,05:19,Noche,Miercoles,Banca,Inbound,AG008,43,255.2,8.8,14,Cancelacion,1.0,0,3.0,0
LC000087,2025-07-02,05:42,Noche,Miercoles,Retail,Inbound,AG024,33,189.9,2346.5,5,Soporte tecnico,1.0,0,4.5,0
LC000088,2025-07-02,06:01,Noche,Miercoles,Telco,Chat,AG020,36,430.3,5.0,9,Otros,1.0,0,3.5,0
LC000089,2025-07-02,06:03,Noche,Miercoles,Retail,Inbound,AG030,41,259.9,5.0,13,Soporte tecnico,1.0,0,,0
